app_id|customer_id|order_id|update_time|active|cluster_id|count|creation_time|gateway|instrument|paymode|price|product_id|promotions|quantity|sap_id|total_quantity
grocery-desktop|000000000005|SSC-0000109039-17|201ba2b0-7b58-11e7-a25b-00155d1ce602|True|2000|4.0|201ba2b0-7b58-11e7-a25b-00155d1ce602|<null>|RCS|'[''RCS'']'|220.0|000000000400004250|'{''MONEY_OFF'': 62.5}'|2|000000000400004250|23
grocery-desktop|000000000111|SSC-0000109079-17|02624660-7c12-11e7-a25b-00155d1ce602|True|2000|7.0|02624660-7c12-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|249.22|000000000400004174|'{''ORDER_THRESHOLD_DISCOUNT'': 6.85, ''SINGLE_COUPON'': 5.54}'|2|000000000400004174|27
grocery-desktop|000000000056|SSC-0000115130-17|a6c219d0-7e63-11e7-a8b0-00155d1ce602|True|2000|3.0|a6c219d0-7e63-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|81.85|000000000400004113|'{''MONEY_OFF'': 10.0, ''ORDER_THRESHOLD_DISCOUNT'': 1.99, ''SINGLE_COUPON'': 6.16}'|1|000000000400004113|8
grocery-app|000000000009|SUM-0000023005-17|8513e420-7d92-11e7-a8b0-00155d1ce602|True|T794|6.0|8513e420-7d92-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|175.0|000000000490992304|<null>|1|000000000490992304|8
grocery-desktop|000000000154|SSM-0000107069-17|a22779e0-79bf-11e7-a25b-00155d1ce602|True|2000|6.0|a22779e0-79bf-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|110.0|000000000400004233|<null>|1|000000000400004233|17
grocery-desktop|000000000059|SSM-0000097116-17|ec3190c0-7780-11e7-a2f2-00155d1ce602|True|2000|3.0|ec3190c0-7780-11e7-a2f2-00155d1ce602|<null>|CREDIT_CARD|'[''BillDesk'']'|110.0|000000000400004248|<null>|1|000000000400004248|6
grocery-desktop|000000000005|SSC-0000114011-17|e320b7d0-7d99-11e7-a8b0-00155d1ce602|True|2000|3.0|e320b7d0-7d99-11e7-a8b0-00155d1ce602|<null>|RCS|'[''RCS'']'|220.0|000000000400004250|'{''MONEY_OFF'': 62.5}'|2|000000000400004250|14
grocery-app|000000000009|SUC-0000014007-17|2d51ea40-78e0-11e7-8068-00155d1ce602|True|T794|8.0|2d51ea40-78e0-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|121.0|000000000490002069|<null>|1|000000000490002069|14
grocery-desktop|000000000018|SSC-0000114012-17|011023c0-7d9a-11e7-a8b0-00155d1ce602|True|2000|4.0|011023c0-7d9a-11e7-a8b0-00155d1ce602|<null>|RCS|'[''RCS'']'|533.08|000000000400004124|'{''ORDER_THRESHOLD_DISCOUNT'': 1.73}'|4|000000000400004124|63
grocery-desktop|000000000079|SSC-0000109101-17|bb2b70f0-7c25-11e7-a25b-00155d1ce602|True|2000|2.0|bb2b70f0-7c25-11e7-a25b-00155d1ce602|<null>|COD|'[''RCS'', ''COD'']'|110.0|000000000400004254|<null>|1|000000000400004254|11
grocery-desktop|000000000044|SSC-0000109052-17|3e9b7be0-7b65-11e7-a25b-00155d1ce602|True|2000|2.0|3e9b7be0-7b65-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|21.0|000000000400004277|<null>|1|000000000400004277|5
grocery-desktop|000000000151|SSM-0000107015-17|e74a7170-7911-11e7-8068-00155d1ce602|True|2000|4.0|e74a7170-7911-11e7-8068-00155d1ce602|<null>|COD|'[''COD'']'|135.0|000000000400004129|<null>|1|000000000400004129|5
grocery-desktop|000000000158|SSM-0000108006-17|823eda20-7a7c-11e7-a25b-00155d1ce602|True|2000|4.0|823eda20-7a7c-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|4.82|000000000400004135|'{''MONEY_OFF'': 2.5, ''ORDER_THRESHOLD_DISCOUNT'': 0.09}'|2|000000000400004135|6
grocery-desktop|000000000002|SSC-0000107056-17|c87c9380-79ad-11e7-a25b-00155d1ce602|True|2000|1.0|c87c9380-79ad-11e7-a25b-00155d1ce602|<null>|COD|'[''COD'']'|220.0|000000000400004251|<null>|2|000000000400004251|2
grocery-desktop|000000000007|SSC-0000115183-17|327abd90-7e8e-11e7-a8b0-00155d1ce602|True|2000|6.0|327abd90-7e8e-11e7-a8b0-00155d1ce602|<null>|COD|'[''COD'']'|225.44|000000000400004123|'{''MONEY_OFF'': 10.0, ''ORDER_THRESHOLD_DISCOUNT'': 2.28}'|2|000000000400004123|45
grocery-desktop|000000000004|SSC-0000109120-17|92e51930-7c38-11e7-a25b-00155d1ce602|True|2000|2.0|92e51930-7c38-11e7-a25b-00155d1ce602|<null>|RCS|'[''RCS'']'|42.0|000000000400004158|<null>|2|000000000400004158|62
grocery-desktop|000000000004|SSC-0000115177-17|8e310a00-7e88-11e7-a8b0-00155d1ce602|True|2000|8.0|8e310a00-7e88-11e7-a8b0-00155d1ce602|<null>|RCS|'[''RCS'']'|63.0|000000000400004277|<null>|3|000000000400004277|33
grocery-desktop|000000000116|SSM-0000097004-17|53084380-76b8-11e7-aa45-00155d1ce601|True|2000|4.0|53084380-76b8-11e7-aa45-00155d1ce601|<null>|COD|'[''COD'']'|0.0|000000000400004115|'{''BOGO'': 100.0}'|1|000000000400004115|5
