app_id|cluster_id|product_id|update_time|active|boost|brand|category_code|category_name|cluster_name|creation_time|grouping_id|image_url|mrp|new|price|price_margin|product_name|sap_id|url|variants
grocery-desktop|2000|000000000400004090|34f0dfa0-58dc-11e7-a25b-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|e47ed0f0-5678-11e7-a25b-00155d1ce602|000000000400004090|images/h49/hb0/8802683912222.jpg|147.0|<null>|147.0|<null>|SABUDANA AMARAPAYAR 500GM|000000000400004090|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SABUDANA-AMARAPAYAR-500GM/p/000000000400004090|'{''packsize'': ''500 gm''}'
grocery-desktop|2000|000000000400004090|34f0dfa0-58dc-11e7-a2f2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|e47ed0f0-5678-11e7-a2f2-00155d1ce602|000000000400004090|images/h49/hb0/8802683912222.jpg|147.0|<null>|147.0|<null>|SABUDANA AMARAPAYAR 500GM|000000000400004090|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SABUDANA-AMARAPAYAR-500GM/p/000000000400004090|'{''packsize'': ''500 gm''}'
grocery-desktop|2000|000000000400004090|34f0dfa0-58dc-11e7-8be2-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|e47ed0f0-5678-11e7-8be2-00155d1ce602|000000000400004090|images/h49/hb0/8802683912222.jpg|147.0|<null>|147.0|<null>|SABUDANA AMARAPAYAR 500GM|000000000400004090|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SABUDANA-AMARAPAYAR-500GM/p/000000000400004090|'{''packsize'': ''500 gm''}'
grocery-desktop|2000|000000000400004090|34f0dfa0-58dc-11e7-8068-00155d1ce602|True|0.0|BANISH|523|Masoor Dal|Bangalore North|e47ed0f0-5678-11e7-8068-00155d1ce602|000000000400004090|images/h49/hb0/8802683912222.jpg|147.0|<null>|147.0|<null>|SABUDANA AMARAPAYAR 500GM|000000000400004090|/Grocery-%26-Staples/Dals-%26-Pulses/Masoor-Dal/SABUDANA-AMARAPAYAR-500GM/p/000000000400004090|'{''packsize'': ''500 gm''}'
grocery-app|T793|000000000491085637|7eadea30-7816-11e7-8be2-00155d1ce602|True|0.0|2 Minute|CATRIL03060001|Cooking Paste|Bangalore cluster|c84d1270-7815-11e7-8be2-00155d1ce602|<null>|images/h32/h18/8800390479902.jpg|10.0|True|10.0|<null>|2 MINUTES TOMATO RASAM PASTE 60G|000000000491085637|/Grocery/Masalas-%26-Spices/Cooking-Paste/2-Minute-Tomato-Rasam-Paste-60-gm/p/000000000491085637|<null>
grocery-app|T795|000000000491316407|e92d8e60-7816-11e7-8be2-00155d1ce602|True|0.0|Malas|CATRIL07040001|Energy Drinks|Pune Cluster|949e5eb0-7816-11e7-8be2-00155d1ce602|<null>|images/h48/h5a/8800400932894.jpg|399.0|True|399.0|<null>|MALAS GREEN MINT MOCKTAIL 1 L PET|000000000491316407|/Tea%2C-Coffee-%26-Drinks/Soft-Drinks/Other-Soft-Drinks/Malas-Green-Mint-Mocktail-1-Ltr-/p/000000000491316407|<null>
grocery-app|T793|000000000490893799|8617dc80-7835-11e7-8be2-00155d1ce602|True|0.0|Ankur|CATRIL03050010|Sunflower Oil|Bangalore cluster|85e0c6f0-7835-11e7-8be2-00155d1ce602|<null>|images/h85/h79/8800884293662.jpg|10.0|True|10.0|<null>|ANKUR SUNFIT SUNFLOWER OIL 1 L PCH|000000000490893799|/Grocery/Edible-Oil-%26-Ghee/Sunflower-Oil/Ankur-Sunfit-Sunflower-Oil-1-Ltr/p/000000000490893799|<null>
grocery-app|T793|000000000490508735|e9ee74c0-7813-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL10060001|Brooms, Mops & Dusters|Bangalore cluster|9c496df0-780f-11e7-8be2-00155d1ce602|<null>|images/hfe/hd0/8800083443742.jpg|90.0|True|90.0|<null>|GALA IRON BULL|000000000490508735|/Home-%26-Office-Needs/Cleaning-Aids/Brooms%2C-Mops-%26-Dusters/Gala-Iron-Bull-Scrub-Pad/p/000000000490508735|<null>
grocery-app|T793|000000000490508735|0e858250-7810-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL10060001|Brooms, Mops & Dusters|Bangalore cluster|9c496df0-780f-11e7-8be2-00155d1ce602|<null>|images/hfe/hd0/8800083443742.jpg|90.0|True|90.0|<null>|GALA IRON BULL|000000000490508735|/Home-%26-Office-Needs/Cleaning-Aids/Brooms%2C-Mops-%26-Dusters/Gala-Iron-Bull-Scrub-Pad/p/000000000490508735|<null>
grocery-app|T794|000000000490007898|e616d780-7821-11e7-8be2-00155d1ce602|True|0.0|English Oven|CATRIL05070002|Instant Food|Mumbai cluster|e5f45b60-7821-11e7-8be2-00155d1ce602|<null>|images/hc6/hb8/8800792772638.jpg|10.0|True|10.0|<null>| English Oven Hotdog Roll Bread 150gm|000000000490007898|/Packaged-Foods/Instant-Food-%26-Ready-to-cook-Mixes/Instant-Food/-English-Oven-Hotdog-Roll-Bread-150gm/p/000000000490007898|<null>
grocery-app|T794|000000000490759728|f3274ef0-7817-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL10010005|Casseroles|Mumbai cluster|ceb2fab0-7812-11e7-8be2-00155d1ce602|<null>|images/hc8/h0f/8800212058142.jpg|891.0|True|891.0|<null>|CELLO CREST CASSEROL PKOF3(0.7L+1L+1.5L)|000000000490759728|/Home-%26-Office-Needs/Kitchen-%26-Dining/Casseroles/Cello-Crest-Casserole-Set-Of-3-Assorted-Colour-%280-7-1-1-5-Ltr%29-/p/000000000490759728|<null>
grocery-app|T795|000000000490008729|bd2551d0-7817-11e7-8be2-00155d1ce602|True|0.0|<null>|CATRIL10010019|Tea & Coffee Strainers|Pune Cluster|56b5bf00-7814-11e7-8be2-00155d1ce602|<null>|images/h6b/hb0/8800312885278.jpg|68.0|True|68.0|<null>|ALL TIME SOUP STRAINER 8 NO 400071|000000000490008729|/Home-%26-Office-Needs/Kitchen-%26-Dining/Tea-%26-Coffee-Strainers/All-Time-Soup-Strainer/p/000000000490008729|<null>
grocery-app|T795|000000000491297818|6bfd09e0-78d2-11e7-8068-00155d1ce602|True|0.0|Bournvita|CATRIL05030005|Cookies|Pune Cluster|b4a93090-7816-11e7-8068-00155d1ce602|<null>|images/h84/h95/8800520601630.jpg|60.0|True|60.0|<null>|BOURNVITA BISCUIT MULTIPACK 27.78 g x 9|000000000491297818|/Packaged-Foods/Biscuits/Health-Biscuits/Bournvita-Biscuit-Multipack-27-78-gm-%28Pack-of-9%29-/p/000000000491297818|<null>
grocery-app|T795|000000000491297818|cbc5f010-7816-11e7-8be2-00155d1ce602|True|0.0|Bournvita|CATRIL05030005|Cookies|Pune Cluster|b4a93090-7816-11e7-8be2-00155d1ce602|<null>|images/h84/h95/8800520601630.jpg|60.0|True|60.0|<null>|BOURNVITA BISCUIT MULTIPACK 27.78 g x 9|000000000491297818|/Packaged-Foods/Biscuits/Health-Biscuits/Bournvita-Biscuit-Multipack-27-78-gm-%28Pack-of-9%29-/p/000000000491297818|<null>
